Rank	Title (click to view)	Studio	Adjusted Gross	Unadjusted Gross	Year^
  1	Gone with the Wind	MGM	$1,822,598,200	$200,852,579	1939^
  2	Star Wars	Fox	$1,604,857,600	$460,998,007	1977^
  3	The Sound of Music	Fox	$1,283,791,300	$159,287,539	1965^
  4	E.T.: The Extra-Terrestrial	Uni.	$1,278,107,600	$435,110,554	1982^
  5	Titanic	Par.	$1,221,303,800	$659,363,944	1997^
  6	The Ten Commandments	Par.	$1,180,310,000	$65,500,000	1956
7	Jaws	Uni.	$1,153,990,200	$260,000,000	1975
8	Doctor Zhivago	MGM	$1,118,460,500	$111,721,910	1965
9	The Exorcist	WB	$996,498,500	$232,906,145	1973^
  10	Snow White and the Seven Dwarfs	Dis.	$982,090,000	$184,925,486	1937^
  11	Star Wars: The Force Awakens	BV	$974,117,000	$936,662,225	2015
12	101 Dalmatians	Dis.	$900,254,400	$144,880,014	1961^
  13	The Empire Strikes Back	Fox	$884,607,500	$290,475,067	1980^
  14	Ben-Hur	MGM	$883,402,600	$74,422,622	1959^
  15	Avatar	Fox	$876,759,300	$760,507,625	2009^
  16	Avengers: Endgame	BV	$858,373,000	2019	2009^
  17	Return of the Jedi	Fox	$847,475,300	$309,306,177	1983^
  18	Jurassic Park	Uni.	$825,894,500	$402,828,120	1993^
  19	Star Wars: Episode I - The Phantom Menace	Fox	$813,711,800	$474,544,677	1999^
  20	The Lion King	BV	$803,209,300	$422,783,777	1994^
  21	The Sting	Uni.	$803,177,100	$156,000,000	1973
22	Raiders of the Lost Ark	Par.	$797,776,400	$248,159,971	1981^
  23	The Graduate	AVCO	$771,047,200	$104,945,305	1967^
  24	Fantasia	Dis.	$748,221,700	$76,408,097	1941^
  25	The Godfather	Par.	$711,092,300	$134,966,411	1972^
  26	Forrest Gump	Par.	$708,520,900	$330,455,270	1994^
  27	Mary Poppins	Dis.	$704,418,200	$102,272,727	1964^
  28	Grease	Par.	$694,658,000	$189,969,103	1978^
  29	Marvel's The Avengers	BV	$692,699,700	$623,357,910	2012
30	Jurassic World	Uni.	$691,874,600	$652,270,625	2015
31	Black Panther	BV	$687,213,600	$700,059,566	2018
32	Thunderball	UA	$673,948,000	$63,595,658	1965
33	The Dark Knight	WB	$671,299,400	$535,234,033	2008^
34	The Jungle Book	Dis.	$663,856,000	$141,843,612	1967^
35	Sleeping Beauty	Dis.	$654,811,300	$51,600,000	1959^
36	Avengers: Infinity War	BV	$652,501,800	$678,815,482	2018
37	Ghostbusters	Col.	$641,275,300	$242,212,467	1984^
38	Shrek 2	DW	$640,168,900	$441,226,247	2004
39	Butch Cassidy and the Sundance Kid	Fox	$635,726,300	$102,308,889	1969
40	Love Story	Par.	$630,683,300	$106,397,186	1970
41	Spider-Man	Sony	$626,057,600	$403,706,375	2002
42	Independence Day	Fox	$624,112,600	$306,169,268	1996^
43	Home Alone	Fox	$610,285,100	$285,761,243	1990
44	Star Wars: The Last Jedi	BV	$609,026,300	$620,181,382	2017
45	Pinocchio	Dis.	$607,304,000	$84,254,167	1940^
46	Cleopatra (1963)	Fox	$605,323,000	$57,777,778	1963
47	Beverly Hills Cop	Par.	$605,021,700	$234,760,478	1984
48	Goldfinger	UA	$597,363,000	$51,081,062	1964
49	Incredibles 2	BV	$597,356,200	$608,581,744	2018
50	Airport	Uni.	$595,662,700	$100,489,151	1970
51	American Graffiti	Uni.	$592,085,700	$115,000,000	1973
52	The Robe	Fox	$589,745,500	$36,000,000	1953
53	Pirates of the Caribbean: Dead Man's Chest	BV	$582,301,600	$423,315,812	2006
54	Around the World in 80 Days	UA	$582,184,600	$42,000,000	1956
55	Bambi	RKO	$574,049,200	$102,247,150	1942^
  56	Blazing Saddles	WB	$569,789,000	$119,601,481	1974^
  57	Batman	WB	$567,380,500	$251,348,343	1989^
  58	The Bells of St. Mary's	RKO	$565,333,300	$21,333,333	1945
59	The Lord of the Rings: The Return of the King	NL	$555,373,700	$377,845,905	2003^
60	Finding Nemo	BV	$554,894,500	$380,843,261	2003^
61	The Towering Inferno	Fox	$552,994,700	$116,000,000	1974
62	Rogue One: A Star Wars Story	BV	$544,579,000	$532,177,324	2016
63	Cinderella (1950)	Dis.	$543,315,900	$93,141,149	1950^
64	Spider-Man 2	Sony	$542,030,300	$373,585,825	2004
65	The Lion King (2019)	BV	$541,289,057	2019	2004
66	My Fair Lady	WB	$541,160,700	$72,560,711	1964^
67	The Greatest Show on Earth	Par.	$540,600,000	$36,000,000	1952
68	National Lampoon's Animal House	Uni.	$539,611,300	$141,600,000	1978^
  69	The Passion of the Christ	NM	$537,940,600	$370,782,930	2004^
  70	Star Wars: Episode III - Revenge of the Sith	Fox	$534,514,500	$380,270,577	2005^
  71	Back to the Future	Uni.	$532,046,400	$210,609,762	1985
72	The Lord of the Rings: The Two Towers	NL	$520,104,800	$342,551,365	2002^
  73	The Dark Knight Rises	WB	$518,812,100	$448,139,099	2012
74	The Sixth Sense	BV	$518,787,900	$293,506,292	1999
75	Superman	WB	$517,029,800	$134,451,603	1978^
  76	Tootsie	Col.	$512,704,500	$177,200,000	1982
77	Smokey and the Bandit	Uni.	$512,064,700	$126,737,428	1977
78	Beauty and the Beast (2017)	BV	$511,751,900	$504,014,165	2017
79	Finding Dory	BV	$505,984,400	$486,295,561	2016
80	West Side Story	MGM	$504,675,200	$44,055,492	1961^
  81	Harry Potter and the Sorcerer's Stone	WB	$504,077,900	$317,871,467	2001^
82	Close Encounters of the Third Kind	Col.	$503,863,900	$135,189,114	1977^
83	Lady and the Tramp	Dis.	$502,171,300	$93,602,326	1955^
84	Lawrence of Arabia	Col.	$499,488,100	$45,306,425	1962^
85	The Rocky Horror Picture Show	Fox	$496,175,500	$112,892,319	1975
86	Rocky	UA	$495,910,200	$117,235,147	1976
87	The Best Years of Our Lives	RKO	$495,550,000	$23,650,000	1946
88	The Poseidon Adventure	Fox	$494,666,700	$84,563,118	1972
89	The Lord of the Rings: The Fellowship of the Ring	NL	$493,741,500	$315,544,750	2001^
90	Twister	WB	$492,740,000	$241,721,524	1996
91	Men in Black	Sony	$492,096,200	$250,690,539	1997
92	The Bridge on the River Kwai	Col.	$490,144,000	$27,200,000	1957
93	Transformers: Revenge of the Fallen	P/DW	$485,647,400	$402,111,870	2009
94	It's a Mad, Mad, Mad, Mad World	MGM	$485,417,500	$46,332,858	1963
95	Swiss Family Robinson	Dis.	$484,810,100	$40,356,000	1960
96	One Flew Over the Cuckoo's Nest	UA	$483,705,100	$108,981,275	1975
97	M.A.S.H.	Fox	$483,694,700	$81,600,000	1970
98	Indiana Jones and the Temple of Doom	Par.	$482,330,700	$179,870,271	1984
99	Star Wars: Episode II - Attack of the Clones	Fox	$481,750,900	$310,676,740	2002^
100	Avengers: Age of Ultron	BV	$480,695,900	$459,005,868	2015
101	Toy Story 3	BV	$480,588,300	$415,004,880	2010
102	Mrs. Doubtfire	Fox	$474,686,300	$219,195,243	1993
103	Aladdin	BV	$472,505,500	$217,350,219	1992
104	Ghost	Par.	$463,701,600	$217,631,306	1990
105	The Hunger Games: Catching Fire	LGF	$460,543,000	$424,668,047	2013
106	Duel in the Sun	Selz.	$459,693,900	$20,408,163	1946
107	The Hunger Games	LGF	$458,278,000	$408,010,692	2012
108	Pirates of the Caribbean: The Curse of the Black Pearl	BV	$456,346,600	$305,413,918	2003
109	House of Wax	WB	$455,292,600	$23,750,000	1953
110	Rear Window	Par.	$453,696,200	$36,764,313	1954^
111	The Lost World: Jurassic Park	Uni.	$449,688,700	$229,086,679	1997
112	Indiana Jones and the Last Crusade	Par.	$445,242,600	$197,171,806	1989
113	Monsters, Inc.	BV	$444,671,600	$289,916,256	2001^
114	Frozen	BV	$441,859,600	$400,738,009	2013
115	Spider-Man 3	Sony	$440,717,700	$336,530,303	2007
116	Iron Man 3	BV	$440,132,200	$409,013,994	2013
117	Terminator 2: Judgment Day	TriS	$439,441,100	$205,881,154	1991^
118	Sergeant York	WB	$433,590,000	$16,361,885	1941
119	How the Grinch Stole Christmas	Uni.	$433,442,500	$260,044,825	2000
120	Toy Story 4	BV	$433,331,004	2019	2000
121	Top Gun	Par.	$432,752,800	$179,800,601	1986^
122	Harry Potter and the Deathly Hallows Part 2	WB	$432,574,700	$381,193,157	2011^
123	Toy Story 2	BV	$431,007,100	$245,852,179	1999^
124	Captain Marvel	BV	$426,829,839	2019	1999^
125	Shrek	DW	$426,088,600	$267,665,011	2001
126	Shrek the Third	P/DW	$422,631,800	$322,719,944	2007
127	Despicable Me 2	Uni.	$422,515,800	$368,061,265	2013
128	Captain America: Civil War	BV	$421,264,600	$408,084,349	2016
129	The Matrix Reloaded	WB	$420,730,300	$281,576,461	2003
130	Transformers	P/DW	$418,082,600	$319,246,193	2007
131	Crocodile Dundee	Par.	$416,284,100	$174,803,506	1986
132	Wonder Woman	WB	$415,500,900	$412,563,408	2017
133	Jurassic World: Fallen Kingdom	Uni.	$413,957,600	$417,719,760	2018
134	The Four Horsemen of the Apocalypse	MPC	$413,724,500	$9,183,673	1921
135	Saving Private Ryan	DW	$412,689,800	$217,049,603	1998^
136	Young Frankenstein	Fox	$411,281,900	$86,273,333	1974
137	Peter Pan	Dis.	$411,068,000	$87,404,651	1953^
138	Gremlins	WB	$409,794,300	$153,083,102	1984^
139	Beauty and the Beast	BV	$408,727,000	$218,967,620	1991^
140	Harry Potter and the Goblet of Fire	WB	$407,221,700	$290,201,752	2005^
141	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	BV	$407,037,700	$291,710,957	2005
142	Pirates of the Caribbean: At World's End	BV	$405,214,800	$309,420,425	2007
143	Harry Potter and the Chamber of Secrets	WB	$404,942,600	$262,233,983	2002^
  144	The Fugitive	WB	$400,019,800	$183,875,760	1993
145	The Caine Mutiny	Col.	$399,933,700	$21,750,000	1954
146	Iron Man	Par.	$399,556,200	$318,412,101	2008
147	Transformers: Dark of the Moon	P/DW	$398,790,600	$352,390,543	2011
148	Meet the Fockers	Uni.	$397,998,900	$279,261,160	2004
149	Indiana Jones and the Kingdom of the Crystal Skull	Par.	$397,922,200	$317,101,119	2008
150	Jumanji: Welcome to the Jungle	Sony	$397,627,900	$404,564,861	2017^
  151	Toy Story	BV	$395,253,600	$191,796,233	1995^
  152	2001: A Space Odyssey	MGM	$394,092,900	$60,541,301	1968^
  153	Dances with Wolves	Orion	$393,730,600	$184,208,848	1990
154	An Officer and a Gentleman	Par.	$393,348,300	$129,795,554	1982
155	Guardians of the Galaxy Vol. 2	BV	$392,444,300	$389,813,101	2017
156	Spider-Man: Far from Home	Sony	$390,234,064	2019	2017
157	Rain Man	MGM	$390,058,200	$172,825,435	1988
158	The Secret Life of Pets	Uni.	$389,897,100	$368,384,330	2016
159	Guess Who's Coming to Dinner	Col.	$389,745,600	$56,666,667	1967
160	American Sniper	WB	$388,150,800	$350,126,372	2014
161	Kramer Vs. Kramer	Col.	$387,612,400	$106,260,000	1979
162	Armageddon	BV	$387,253,600	$201,578,182	1998
163	Psycho	Par.	$384,426,800	$32,000,000	1960
164	Inside Out	BV	$383,046,300	$356,461,711	2015
165	Rocky III	UA	$383,044,400	$125,049,125	1982^
166	Harry Potter and the Order of the Phoenix	WB	$382,542,600	$292,137,260	2007^
167	Rambo: First Blood Part II	TriS	$381,758,600	$150,415,432	1985
168	Batman Forever	WB	$381,215,100	$184,069,126	1995^
169	Deadpool	Fox	$381,059,700	$363,070,709	2016
170	Pretty Woman	BV	$380,009,600	$178,406,268	1990
171	Earthquake	Uni.	$379,786,500	$79,666,653	1974
172	Alice in Wonderland (2010)	BV	$379,338,900	$334,191,110	2010
173	The Incredibles	BV	$378,689,900	$261,441,092	2004
174	Cast Away	Fox	$377,466,700	$233,632,142	2000
175	Home Alone 2: Lost in New York	Fox	$377,064,800	$173,585,516	1992
176	The Jungle Book (2016)	BV	$375,813,700	$364,001,123	2016
177	Three Men and a Baby	BV	$375,751,000	$167,780,960	1987
178	My Big Fat Greek Wedding	IFC	$373,189,500	$241,438,208	2002
179	Guardians of the Galaxy	BV	$371,009,900	$333,176,600	2014
180	Furious 7	Uni.	$369,624,400	$353,007,020	2015
181	Mission: Impossible	Par.	$368,924,600	$180,981,856	1996
182	The Hunger Games: Mockingjay - Part 1	LGF	$366,949,300	$337,135,885	2014
183	Minions	Uni.	$366,835,400	$336,045,770	2015
184	Saturday Night Fever	Par.	$365,848,700	$94,213,184	1977
185	On Golden Pond	Uni.	$365,664,800	$119,285,432	1981
186	Austin Powers: The Spy Who Shagged Me	NL	$365,437,200	$206,040,086	1999
187	Harry Potter and the Half-Blood Prince	WB	$364,777,600	$302,089,278	2009^
188	Bruce Almighty	Uni.	$362,834,400	$242,829,261	2003
189	Harry Potter and the Prisoner of Azkaban	WB	$362,278,800	$249,759,843	2004^
190	Funny Girl	Col.	$360,755,500	$52,223,306	1968^
191	Mission: Impossible II	Par.	$360,082,200	$215,409,889	2000
192	Rush Hour 2	NL	$360,024,800	$226,164,286	2001
193	Apollo 13	Uni.	$359,118,200	$173,837,933	1995^
194	Patton	Fox	$358,945,400	$61,749,765	1970
195	Fatal Attraction	Par.	$357,523,500	$156,645,693	1987
196	Iron Man 2	Par.	$357,411,200	$312,433,331	2010
197	Zootopia	BV	$356,850,900	$341,268,248	2016
198	Liar Liar	Uni.	$356,102,300	$181,410,615	1997
199	Aladdin (2019)	BV	$355,476,228	2019	1997
200	Robin Hood: Prince of Thieves	WB	$354,180,600	$165,493,908	1991
201	Beverly Hills Cop II	Par.	$354,097,700	$153,665,036	1987
202	Up	BV	$353,856,800	$293,004,164	2009
203	Batman Returns	WB	$353,592,000	$162,902,340	1992^
204	Signs	BV	$353,495,100	$227,966,634	2002
205	The Twilight Saga: Eclipse	Sum.	$351,196,800	$300,531,751	2010
206	Superman II	WB	$350,630,600	$108,185,706	1981
207	The Twilight Saga: New Moon	Sum.	$350,579,900	$296,623,634	2009
208	What's Up, Doc?	WB	$349,800,000	$66,000,000	1972
209	9 to 5	Fox	$345,965,600	$103,290,500	1980
210	Batman v Superman: Dawn of Justice	WB	$344,728,300	$330,360,194	2016
211	The Firm	Par.	$344,618,100	$158,348,367	1993
212	Suicide Squad	WB	$343,993,400	$325,100,054	2016
213	Who Framed Roger Rabbit	BV	$342,977,100	$156,452,370	1988
214	Inception	WB	$341,686,400	$292,576,195	2010
215	Skyfall	Sony	$340,956,400	$304,360,277	2012
216	The Hobbit: An Unexpected Journey	WB (NL)	$340,881,700	$303,003,568	2012
217	Porky's	Fox	$339,876,800	$111,289,673	1982^
218	Air Force One	Sony	$339,430,800	$172,956,409	1997
219	Stir Crazy	Col.	$339,298,500	$101,300,000	1980
220	A Star Is Born (1976)	WB	$338,403,800	$80,000,000	1976
221	There's Something About Mary	Fox	$337,682,400	$176,484,651	1998
222	Spider-Man: Homecoming	Sony	$337,137,900	$334,201,140	2017
223	Cars	BV	$335,753,800	$244,082,982	2006
224	The Hangover	WB	$334,864,700	$277,322,503	2009
225	Aquaman	WB	$334,758,500	$335,061,807	2018
226	Lethal Weapon 2	WB	$334,196,100	$147,253,986	1989
227	Night at the Museum	Fox	$333,744,800	$250,863,268	2006
228	Harry Potter and the Deathly Hallows Part 1	WB	$333,423,900	$296,131,568	2010^
  229	I Am Legend	WB	$330,883,100	$256,393,010	2007
230	Austin Powers in Goldmember	NL	$330,792,500	$213,307,889	2002
231	War of the Worlds	Par.	$329,308,300	$234,280,354	2005
232	It	WB (NL)	$328,942,500	$327,481,748	2017
233	Every Which Way But Loose	WB	$328,042,900	$85,196,485	1978
234	The Twilight Saga: Breaking Dawn Part 2	LG/S	$327,319,900	$292,324,737	2012
235	The Love Bug	Dis.	$325,273,700	$51,264,000	1969
236	The Twilight Saga: Breaking Dawn Part 1	Sum.	$323,575,600	$281,287,133	2011
237	You Only Live Twice	UA	$323,494,900	$43,084,787	1967
238	X-Men: The Last Stand	Fox	$322,382,600	$234,362,462	2006
239	The Mummy Returns	Uni.	$321,589,800	$202,019,785	2001
240	X2: X-Men United	Fox	$321,176,900	$214,949,694	2003
241	Platoon	Orion	$319,278,400	$138,530,565	1986
242	Rocky IV	UA	$318,839,600	$127,873,716	1985
243	Man of Steel	WB	$317,606,700	$291,045,518	2013
244	Pearl Harbor	BV	$316,054,500	$198,542,554	2001
245	True Lies	Fox	$315,312,100	$146,282,411	1994
246	Heaven Can Wait (1978)	Par.	$314,350,000	$81,640,278	1978
247	Lethal Weapon 3	WB	$314,224,400	$144,731,527	1992
248	Look Who's Talking	TriS	$313,931,300	$140,088,813	1989
249	Gladiator	DW	$313,674,500	$187,705,427	2000
250	Jaws 2	Uni.	$312,815,700	$81,766,007	1978^
251	Deadpool 2	Fox	$312,708,800	$324,591,735	2018^
252	Star Trek	Par.	$311,277,600	$257,730,019	2009
253	The Santa Clause	BV	$310,910,200	$144,833,357	1994
254	The Amityville Horror	AIP	$310,259,900	$86,432,000	1979
255	Thor: Ragnarok	BV	$309,233,900	$315,058,289	2017
256	The Waterboy	BV	$308,237,800	$161,491,646	1998
257	A Bug's Life	BV	$307,560,900	$162,798,565	1998
258	A Few Good Men	Col.	$307,271,600	$141,340,178	1992
259	The Odd Couple	Par.	$306,252,200	$44,527,234	1968
260	Rocky II	UA	$305,773,400	$85,182,160	1979
261	Jerry Maguire	Sony	$305,700,800	$153,952,592	1996
262	The Perfect Storm	WB	$305,267,500	$182,618,434	2000
263	King Kong	Uni.	$304,273,100	$218,080,025	2005
264	The Matrix	WB	$304,140,600	$171,479,930	1999
265	The Amazing Spider-Man	Sony	$303,438,200	$262,030,663	2012
266	Tarzan	BV	$303,397,500	$171,091,819	1999
267	Sister Act	BV	$303,094,600	$139,605,150	1992
268	Hooper	WB	$300,333,300	$78,000,000	1978
269	The Blind Side	WB	$300,054,100	$255,959,475	2009
270	The Da Vinci Code	Sony	$299,236,800	$217,536,138	2006
271	Monsters University	BV	$299,135,900	$268,492,764	2013
272	All the President's Men	WB	$298,641,300	$70,600,000	1976
273	What Women Want	Par.	$298,138,100	$182,811,707	2000
274	The Bourne Ultimatum	Uni.	$297,894,500	$227,471,070	2007
275	Gravity	WB	$296,769,900	$274,092,705	2013
276	Honey, I Shrunk the Kids	BV	$296,681,300	$130,724,172	1989
277	Terms of Endearment	Par.	$296,235,300	$108,423,489	1983
278	Star Trek: The Motion Picture	Par.	$295,624,600	$82,604,699	1979^
279	Men in Black II	Sony	$295,296,600	$190,418,803	2002
280	Wedding Crashers	NL	$294,133,500	$209,255,921	2005
281	Despicable Me	Uni.	$293,676,100	$251,513,985	2010
282	Pocahontas	BV	$293,249,100	$141,579,773	1995
283	Arthur	WB	$293,193,900	$95,461,682	1981
284	The Hunger Games: Mockingjay - Part 2	LGF	$291,938,400	$281,723,902	2015
285	The LEGO Movie	WB	$291,160,600	$257,760,692	2014
286	Batman Begins	WB	$290,381,700	$206,852,432	2005^
287	Apocalypse Now	MGM	$290,311,800	$83,471,511	1979^
288	Charlie and the Chocolate Factory	WB	$290,202,300	$206,459,076	2005
289	Big Daddy	Sony	$289,951,400	$163,479,795	1999
290	Ocean's Eleven	WB	$288,993,500	$183,417,150	2001
291	Jurassic Park III	Uni.	$288,402,600	$181,171,875	2001
292	Teenage Mutant Ninja Turtles	NL	$288,119,600	$135,265,915	1990
293	Planet of the Apes (2001)	Fox	$286,541,800	$180,011,740	2001
294	Alien	Fox	$286,352,700	$80,931,801	1979^
  295	Hancock	Sony	$286,044,000	$227,946,274	2008
296	As Good as It Gets	Sony	$285,391,300	$148,478,011	1997
297	The Hangover Part II	WB	$284,602,500	$254,464,305	2011
298	Midnight Cowboy	UA	$284,164,300	$44,785,053	1969
299	The Hobbit: The Desolation of Smaug	WB (NL)	$283,951,000	$258,366,855	2013
300	The French Connection	Fox	$282,313,300	$51,700,000	1971
